,Region,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
2005-12-01,Alabama,18,12,49,0,0,,0,,0,37,1,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,51,1,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,59,2,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,63,8,63,2,63,2,63,0,63,0,63,0,63,0,63,0,63,0
2006-01-01,Alabama,23,0,0,0,26,,0,,0,40,2,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,71,2,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,68,2,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,78,10,78,0,78,0,78,0,78,2,78,0,78,0,78,0,78,0
2006-02-01,Alabama,12,0,0,0,26,,0,,0,41,1,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,68,1,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,81,1,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,0,65,5,65,0,65,0,65,0,65,2,65,0,65,0,65,0,65,0
2006-03-01,Alabama,40,0,40,0,0,,39,,0,38,3,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,65,3,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,71,4,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,67,17,67,0,67,2,67,0,67,0,67,0,67,2,67,0,67,0
2006-04-01,Alabama,52,0,0,30,0,,0,,0,49,4,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,67,4,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,80,5,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,81,22,81,0,81,0,81,2,81,0,81,0,81,0,81,0,81,0
2006-05-01,Alabama,25,0,0,0,0,,0,,0,43,2,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,61,2,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,73,2,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,70,11,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0
2006-06-01,Alabama,26,0,0,30,0,,0,,0,44,2,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,62,2,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,74,2,74,0,74,0,74,0,74,0,74,0,74,0,74,0,74,0,46,11,46,0,46,0,46,2,46,0,46,0,46,0,46,0,46,0
2006-07-01,Alabama,18,0,0,0,0,,0,,0,43,1,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,60,1,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,71,2,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,46,8,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0
2006-08-01,Alabama,38,0,0,25,0,,0,,0,42,3,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,64,3,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,81,3,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,0,47,16,47,0,47,0,47,1,47,0,47,0,47,0,47,0,47,0
2006-09-01,Alabama,22,9,35,25,0,,0,,0,38,2,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,62,2,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,65,2,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,68,10,68,1,68,1,68,1,68,0,68,0,68,0,68,0,68,0
2006-10-01,Alabama,24,0,0,0,0,,0,,0,41,2,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,64,2,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,68,2,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,84,10,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0
2006-11-01,Alabama,24,8,0,23,20,,0,,0,43,2,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,68,2,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,2,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,69,10,69,1,69,0,69,1,69,1,69,0,69,0,69,0,69,0
2006-12-01,Alabama,48,0,33,72,0,,63,,0,35,3,35,0,35,0,35,1,35,0,35,0,35,0,35,0,35,0,54,3,54,0,54,0,54,1,54,0,54,0,54,0,54,0,54,0,57,4,57,0,57,0,57,1,57,0,57,0,57,1,57,0,57,0,50,21,50,0,50,1,50,4,50,0,50,0,50,3,50,0,50,0
2007-01-01,Alabama,90,14,28,20,0,,27,,0,42,6,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,65,6,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,63,8,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,79,38,79,2,79,1,79,1,79,0,79,0,79,1,79,0,79,0
2007-02-01,Alabama,69,14,0,21,18,,28,,0,37,5,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,63,5,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,6,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,71,29,71,2,71,0,71,1,71,1,71,0,71,1,71,0,71,0
2007-03-01,Alabama,57,7,0,39,16,,0,,0,45,4,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,60,4,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,67,5,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,57,24,57,1,57,0,57,2,57,1,57,0,57,0,57,0,57,0
2007-04-01,Alabama,100,6,26,38,32,,100,,0,39,7,39,0,39,0,39,0,39,0,39,0,39,1,39,0,39,0,69,7,69,0,69,0,69,0,69,0,69,0,69,1,69,0,69,0,75,9,75,0,75,0,75,0,75,0,75,0,75,1,75,0,75,0,60,43,60,1,60,1,60,2,60,2,60,0,60,4,60,0,60,0
2007-05-01,Alabama,36,19,0,0,0,,47,,0,46,2,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,57,3,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,68,3,68,1,68,0,68,0,68,0,68,0,68,0,68,0,68,0,57,15,57,3,57,0,57,0,57,0,57,0,57,2,57,0,57,0
2007-06-01,Alabama,31,13,0,0,0,,0,,0,44,2,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,62,2,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,69,3,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,59,13,59,2,59,0,59,0,59,0,59,0,59,0,59,0,59,0
2007-07-01,Alabama,31,12,0,0,15,,0,,28,44,2,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,68,2,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,71,3,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,65,13,65,2,65,0,65,0,65,1,65,0,65,0,65,0,65,1
2007-08-01,Alabama,38,29,0,0,28,,0,,0,48,3,48,1,48,0,48,0,48,0,48,0,48,0,48,0,48,0,72,3,72,1,72,0,72,0,72,0,72,0,72,0,72,0,72,0,75,3,75,1,75,0,75,0,75,0,75,0,75,0,75,0,75,0,62,16,62,4,62,0,62,0,62,2,62,0,62,0,62,0,62,0
2007-09-01,Alabama,39,24,24,17,0,,23,,0,42,3,42,1,42,0,42,0,42,0,42,0,42,0,42,0,42,0,61,3,61,1,61,0,61,0,61,0,61,0,61,0,61,0,61,0,66,3,66,1,66,0,66,0,66,0,66,0,66,0,66,0,66,0,58,17,58,4,58,1,58,1,58,0,58,0,58,1,58,0,58,0
2007-10-01,Alabama,50,38,0,16,40,,21,,0,43,3,43,1,43,0,43,0,43,0,43,0,43,0,43,0,43,0,70,4,70,1,70,0,70,0,70,0,70,0,70,0,70,0,70,0,68,4,68,1,68,0,68,0,68,1,68,0,68,0,68,0,68,0,72,21,72,6,72,0,72,1,72,3,72,0,72,1,72,0,72,0
2007-11-01,Alabama,83,22,22,16,13,,21,,0,40,6,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,65,6,65,1,65,0,65,0,65,0,65,0,65,0,65,0,65,0,71,7,71,1,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,35,71,3,71,1,71,1,71,1,71,0,71,1,71,0,71,0
2007-12-01,Alabama,58,12,0,17,0,,68,,0,39,4,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,49,4,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,53,5,53,0,53,0,53,0,53,0,53,0,53,1,53,0,53,0,63,25,63,2,63,0,63,1,63,0,63,0,63,3,63,0,63,0
2008-01-01,Alabama,45,21,0,45,51,,80,,0,45,3,45,1,45,0,45,0,45,1,45,0,45,1,45,0,45,0,67,3,67,1,67,0,67,0,67,1,67,0,67,1,67,0,67,0,64,4,64,1,64,0,64,1,64,1,64,0,64,1,64,0,64,0,67,19,67,3,67,0,67,3,67,3,67,0,67,3,67,0,67,0
2008-02-01,Alabama,43,11,0,15,39,,41,,0,45,3,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,66,3,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,72,4,72,0,72,0,72,0,72,1,72,0,72,0,72,0,72,0,54,18,54,2,54,0,54,1,54,2,54,0,54,2,54,0,54,0
2008-03-01,Alabama,52,21,21,15,26,,20,,0,51,4,51,1,51,0,51,0,51,0,51,0,51,0,51,0,51,0,62,4,62,1,62,0,62,0,62,0,62,0,62,0,62,0,62,0,67,5,67,1,67,0,67,0,67,0,67,0,67,0,67,0,67,0,76,22,76,3,76,1,76,1,76,2,76,0,76,1,76,0,76,0
2008-04-01,Alabama,83,20,40,72,24,,57,,22,53,6,53,0,53,0,53,1,53,0,53,0,53,0,53,0,53,0,65,6,65,1,65,0,65,1,65,0,65,0,65,0,65,0,65,0,74,7,74,1,74,0,74,1,74,0,74,0,74,0,74,0,74,0,83,36,83,3,83,2,83,4,83,2,83,0,83,2,83,0,83,1
2008-05-01,Alabama,36,10,41,15,50,,39,,0,49,2,49,0,49,0,49,0,49,1,49,0,49,0,49,0,49,0,59,3,59,0,59,0,59,0,59,1,59,0,59,0,59,0,59,0,75,3,75,0,75,0,75,0,75,1,75,0,75,0,75,0,75,0,65,15,65,2,65,2,65,1,65,3,65,0,65,2,65,0,65,0
2008-06-01,Alabama,42,11,22,32,13,,42,,0,51,3,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,67,3,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,66,4,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,48,18,48,2,48,1,48,2,48,1,48,0,48,2,48,0,48,0
2008-07-01,Alabama,30,5,0,30,37,,0,,0,50,2,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,67,2,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,73,3,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,62,13,62,1,62,0,62,2,62,2,62,0,62,0,62,0,62,0
2008-08-01,Alabama,29,15,0,58,12,,0,,0,48,2,48,0,48,0,48,1,48,0,48,0,48,0,48,0,48,0,58,2,58,0,58,0,58,1,58,0,58,0,58,0,58,0,58,0,66,3,66,0,66,0,66,1,66,0,66,0,66,0,66,0,66,0,45,12,45,2,45,0,45,3,45,1,45,0,45,0,45,0,45,0
2008-09-01,Alabama,39,28,19,0,23,,18,,0,46,3,46,1,46,0,46,0,46,0,46,0,46,0,46,0,46,0,65,3,65,1,65,0,65,0,65,0,65,0,65,0,65,0,65,0,76,3,76,1,76,0,76,0,76,0,76,0,76,0,76,0,76,0,79,17,79,4,79,1,79,0,79,1,79,0,79,1,79,0,79,0
2008-10-01,Alabama,42,17,0,100,52,,16,,0,48,3,48,0,48,0,48,1,48,1,48,0,48,0,48,0,48,0,64,3,64,0,64,0,64,1,64,1,64,0,64,0,64,0,64,0,69,4,69,1,69,0,69,1,69,1,69,0,69,0,69,0,69,0,72,18,72,3,72,0,72,6,72,3,72,0,72,1,72,0,72,0
2008-11-01,Alabama,31,19,0,28,58,,36,,21,46,2,46,0,46,0,46,0,46,1,46,0,46,0,46,0,46,0,65,2,65,0,65,0,65,0,65,1,65,0,65,0,65,0,65,0,64,3,64,1,64,0,64,0,64,1,64,0,64,0,64,0,64,0,61,13,61,3,61,0,61,2,61,4,61,0,61,1,61,0,61,1
2008-12-01,Alabama,30,32,18,13,45,,18,,0,41,2,41,1,41,0,41,0,41,0,41,0,41,0,41,0,41,0,54,2,54,1,54,0,54,0,54,0,54,0,54,0,54,0,54,0,49,3,49,1,49,0,49,0,49,1,49,0,49,0,49,0,49,0,72,13,72,5,72,1,72,1,72,3,72,0,72,1,72,0,72,0
2009-01-01,Alabama,35,17,17,38,42,,83,,0,57,2,57,0,57,0,57,0,57,0,57,0,57,1,57,0,57,0,65,2,65,0,65,0,65,0,65,0,65,0,65,1,65,0,65,0,64,3,64,1,64,0,64,0,64,1,64,0,64,1,64,0,64,0,64,15,64,3,64,1,64,2,64,3,64,0,64,3,64,0,64,0
2009-02-01,Alabama,43,13,18,13,88,,69,,20,51,3,51,0,51,0,51,0,51,1,51,0,51,0,51,0,51,0,65,3,65,0,65,0,65,0,65,1,65,0,65,0,65,0,65,0,67,4,67,0,67,0,67,0,67,1,67,0,67,1,67,0,67,0,64,18,64,2,64,1,64,1,64,6,64,0,64,3,64,0,64,1
2009-03-01,Alabama,35,21,0,61,92,,96,,0,50,2,50,1,50,0,50,1,50,1,50,0,50,1,50,0,50,0,64,2,64,1,64,0,64,1,64,1,64,0,64,1,64,0,64,0,65,3,65,1,65,0,65,1,65,1,65,0,65,1,65,0,65,0,51,15,51,3,51,0,51,3,51,6,51,0,51,4,51,0,51,0
2009-04-01,Alabama,60,21,34,62,62,,32,,0,49,4,49,1,49,0,49,1,49,1,49,0,49,0,49,0,49,0,70,4,70,1,70,0,70,1,70,1,70,0,70,0,70,0,70,0,70,5,70,1,70,0,70,1,70,1,70,0,70,0,70,0,70,0,71,26,71,3,71,1,71,3,71,4,71,0,71,1,71,0,71,0
2009-05-01,Alabama,24,13,35,25,21,,50,,20,54,2,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,66,2,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,67,2,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,46,10,46,2,46,1,46,1,46,1,46,0,46,2,46,0,46,1
2009-06-01,Alabama,18,27,37,53,33,,87,,20,56,1,56,1,56,0,56,0,56,0,56,0,56,1,56,0,56,0,67,1,67,1,67,0,67,0,67,0,67,0,67,1,67,0,67,0,64,2,64,1,64,0,64,1,64,0,64,0,64,1,64,0,64,0,65,8,65,4,65,1,65,3,65,2,65,0,65,4,65,0,65,1
2009-07-01,Alabama,19,18,18,13,22,,17,,0,58,1,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,75,1,75,0,75,0,75,0,75,0,75,0,75,0,75,0,75,0,62,2,62,1,62,0,62,0,62,0,62,0,62,0,62,0,62,0,48,8,48,3,48,1,48,1,48,1,48,0,48,1,48,0,48,0
2009-08-01,Alabama,14,17,34,49,21,,16,,0,51,1,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,88,1,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,66,1,66,1,66,0,66,1,66,0,66,0,66,0,66,0,66,0,54,6,54,3,54,1,54,3,54,1,54,0,54,1,54,0,54,0
2009-09-01,Alabama,29,20,0,0,30,,15,,18,57,2,57,1,57,0,57,0,57,0,57,0,57,0,57,0,57,0,84,2,84,1,84,0,84,0,84,0,84,0,84,0,84,0,84,0,74,3,74,1,74,0,74,0,74,0,74,0,74,0,74,0,74,0,73,13,73,3,73,0,73,0,73,2,73,0,73,1,73,0,73,1
2009-10-01,Alabama,37,31,0,34,76,,30,,17,52,3,52,1,52,0,52,0,52,1,52,0,52,0,52,0,52,0,72,3,72,1,72,0,72,0,72,1,72,0,72,0,72,0,72,0,66,3,66,1,66,0,66,0,66,1,66,0,66,0,66,0,66,0,70,16,70,5,70,0,70,2,70,5,70,0,70,1,70,0,70,1
2009-11-01,Alabama,54,49,49,12,30,,63,,0,51,4,51,1,51,0,51,0,51,0,51,0,51,0,51,0,51,0,73,4,73,1,73,0,73,0,73,0,73,0,73,0,73,0,73,0,61,5,61,2,61,0,61,0,61,0,61,0,61,1,61,0,61,0,69,23,69,8,69,2,69,1,69,2,69,0,69,3,69,0,69,0
2009-12-01,Alabama,43,48,33,0,40,,47,,0,43,3,43,1,43,0,43,0,43,0,43,0,43,0,43,0,43,0,61,3,61,1,61,0,61,0,61,0,61,0,61,0,61,0,61,0,49,4,49,2,49,0,49,0,49,1,49,0,49,0,49,0,49,0,47,18,47,7,47,1,47,0,47,3,47,0,47,2,47,0,47,0
2010-01-01,Alabama,32,19,15,33,46,,29,,0,56,2,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,69,2,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,61,3,61,1,61,0,61,0,61,1,61,0,61,0,61,0,61,0,61,14,61,3,61,1,61,2,61,3,61,0,61,1,61,0,61,0
2010-02-01,Alabama,48,35,0,45,57,,59,,0,49,3,49,1,49,0,49,0,49,1,49,0,49,0,49,0,49,0,67,3,67,1,67,0,67,0,67,1,67,0,67,0,67,0,67,0,64,4,64,1,64,0,64,1,64,1,64,0,64,0,64,0,64,0,67,21,67,5,67,0,67,3,67,4,67,0,67,2,67,0,67,0
